City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Tucuman,AR,-26.82,-65.22,100.4,35,40,9.17,scattered clouds
330,Uige,AO,-7.61,15.06,69.73,94,100,1.57,light rain
331,Viransehir,TR,37.24,39.76,67.19,24,98,3.33,overcast clouds
332,Angoche,MZ,-16.23,39.91,78.1,78,99,6.58,overcast clouds
333,Kunnamangalam,IN,11.3,75.88,77.0,88,20,2.57,mist
334,Darab,IR,28.75,54.54,57.2,31,0,3.02,clear sky
335,Nuuk,GL,64.18,-51.72,26.6,79,100,12.75,overcast clouds
336,Tiarei,PF,-17.53,-149.33,82.4,69,75,8.05,shower rain
337,Ternate,ID,0.8,127.4,80.46,76,92,3.71,overcast clouds
338,Lahat,ID,-3.8,103.53,73.0,92,100,1.92,moderate rain
339,Talnakh,RU,69.49,88.4,10.4,85,75,13.42,light snow
340,Alexandroupoli,GR,40.85,25.87,62.6,88,20,3.36,few clouds
341,Etchoropo,MX,26.77,-109.67,93.99,47,0,8.01,clear sky
342,Pacific Grove,US,36.62,-121.92,62.01,72,75,3.96,broken clouds
343,Cessnock,AU,-32.83,151.35,60.01,99,100,9.48,light rain
344,Khargupur,IN,27.38,81.98,68.49,35,0,3.74,clear sky
345,Helong,CN,42.54,129.0,37.24,79,0,4.12,clear sky
346,Kushima,JP,31.46,131.23,56.48,74,9,3.36,clear sky
347,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,81.39,81,100,4.65,light rain
348,Carbonear,CA,47.73,-53.21,44.6,93,90,24.16,light rain
349,Gemena,CD,3.25,19.77,72.14,93,99,0.78,overcast clouds
350,Arinos,BR,-15.92,-46.11,82.74,69,45,3.4,scattered clouds
351,Teya,RU,60.38,92.63,19.65,95,100,3.15,overcast clouds
352,Ibresi,RU,55.3,47.04,33.39,93,9,8.21,clear sky
353,El Dorado,US,38.77,-120.52,61.0,62,1,5.82,clear sky
354,Boa Vista,BR,2.82,-60.67,96.8,37,40,8.05,scattered clouds
355,Fare,PF,-16.7,-151.02,80.11,73,0,7.56,light rain
356,Beira,MZ,-19.84,34.84,75.2,88,0,8.05,clear sky
357,Banda Aceh,ID,5.56,95.32,80.28,72,100,10.47,overcast clouds
358,Plettenberg Bay,ZA,-34.05,23.37,62.4,89,100,9.64,light rain
359,Pochutla,MX,15.74,-96.47,91.4,55,40,6.69,scattered clouds
